"","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)","Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"
"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","10.3","9.7","8.8","7.9","8.6","8.6","9.8","10.3","9.9","10.6","9.9","9.8","8.9","9.4","No data","No data"
"Albania","6.8","7.0","6.3","5.9","5.6","5.0","5.1","5.6","6.1","5.9","6.3","6.6","6.4","6.4","6.5","6.8"
"Algeria","7.1","6.5","6.0","6.0","5.3","5.1","5.4","4.2","3.8","3.4","3.2","3.5","3.6","3.7","3.8","3.5"
"Andorra","12.0","12.0","14.2","12.1","11.8","11.6","10.9","10.4","9.8","9.7","9.8","9.2","9.2","9.4","9.4","9.3"
"Angola","2.9","2.8","3.0","2.7","2.8","2.7","3.6","3.5","3.2","3.6","4.0","5.0","4.7","4.2","5.2","2.5"
"Antigua and Barbuda","4.8","5.7","5.4","5.1","5.7","5.5","4.7","4.6","4.2","4.3","4.4","4.2","4.5","4.4","4.5","4.1"
"Argentina","6.8","6.4","6.4","6.3","6.3","6.8","7.0","6.3","6.4","6.4","6.4","5.9","5.9","4.7","5.2","5.0"
"Armenia","10.1","7.0","8.3","6.7","3.8","5.3","4.7","4.3","5.4","5.6","7.0","8.2","5.6","5.7","6.5","6.5"
"Australia","9.4","9.1","8.8","8.7","8.6","8.5","8.6","8.3","8.1","8.0","8.0","8.1","7.9","7.9","7.7","7.6"
"Austria","10.3","10.3","10.2","10.1","9.9","10.1","10.1","9.6","9.5","9.5","9.6","9.6","9.6","9.4","9.3","9.2"
"Azerbaijan","6.7","5.7","5.4","5.1","4.8","4.9","5.4","4.0","4.7","5.8","7.4","7.3","6.0","3.7","3.7","3.8"
"Bahamas","7.4","7.3","7.4","7.6","7.6","7.4","7.5","7.3","7.0","6.8","5.9","5.9","5.5","5.2","5.1","5.1"
"Bahrain","5.2","4.6","4.3","4.2","3.1","3.3","3.5","2.9","2.9","2.9","3.0","3.2","3.6","3.7","3.7","3.4"
"Bangladesh","2.6","2.7","2.7","2.7","2.8","2.7","2.6","2.5","2.6","2.5","2.8","2.7","2.7","2.6","2.4","2.4"
"Barbados","7.5","7.7","8.2","8.3","7.4","6.9","7.0","6.8","6.2","6.2","6.3","6.6","6.6","5.8","5.4","5.2"
"Belarus","6.1","5.4","5.8","5.3","4.7","5.3","5.5","5.5","5.9","5.8","6.3","5.9","6.0","5.8","5.9","5.5"
"Belgium","10.5","10.4","10.4","10.2","10.1","9.9","10.1","9.3","8.9","8.9","9.0","9.1","9.1","8.3","8.1","7.9"
"Belize","6.2","5.8","5.8","5.4","5.6","5.8","5.8","5.0","4.9","4.5","4.4","4.3","4.5","4.3","4.5","3.9"
"Benin","4.0","3.6","3.9","4.7","4.2","4.1","3.9","3.7","4.0","4.1","4.0","4.2","4.2","4.2","4.5","4.3"
"Bhutan","3.5","3.2","3.3","3.2","3.0","3.2","3.5","3.2","3.3","3.1","3.5","3.6","3.4","3.7","3.8","4.2"
"Bolivia (Plurinational State of)","6.4","5.8","5.5","5.1","5.1","5.1","5.1","4.5","4.6","4.6","5.0","4.8","5.1","4.8","4.7","4.3"
"Bosnia and Herzegovina","9.4","9.6","9.5","9.5","9.2","9.0","9.0","9.7","9.5","9.2","9.1","9.1","8.0","7.0","7.2","7.1"
"Botswana","6.0","5.3","5.4","6.4","6.3","5.6","6.7","5.7","5.3","5.0","5.3","6.2","5.8","4.7","6.6","5.8"
"Brazil","8.9","8.4","8.0","7.8","7.8","8.0","8.4","8.0","8.2","8.3","8.0","8.2","8.2","8.7","8.6","8.4"
"Brunei Darussalam","2.6","2.2","2.1","1.9","1.9","2.3","2.4","1.9","1.9","1.9","2.2","2.5","2.6","2.5","2.5","2.5"
"Bulgaria","8.2","8.5","7.8","7.6","7.1","7.1","6.6","6.3","6.2","6.6","6.9","6.9","7.3","7.1","6.9","5.9"
