"Asset values and income are colored to denote the change in value from the previous year's filing (increase, decrease, no change)
",,,,,,,,,,,,,,,,,,,,,,,
2017_ID #,New 2017 Asset,2017_Page,2017_Description,2017_Underlying Assets,2017_Location,2017_EIF,2017_attached schedule,2017_Min Value,2017_Max Value,%Change_Value,2016_Min Value,2016_Max Value,2017_Income Type,2017_Min Income,2017_Max Income,2017_Income Exact,%Change_Income,2016_Min Income,2016_Max Income,2016_Income Exact,2016_ID #,2016_Page,2016_Description
2,,14,40 Wall Street LLC,commercial real estate,"New, York, NY",N/A,5,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent,"$5,000,001","$5,000,001",,0%,"$5,000,001","$5,000,001",,2,14,40 Wall Street LLC
4,,14,401 North Wabash Venture LLC,residential & commercial real estate,"Chicago,IL",N/A,8,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent/condo sales,"$5,000,001","$5,000,001","$90,249",-722%,"$5,000,001","$5,000,001","$742,005",4,14,401 North Wabash Venture LLC
5,,14,809 North Canon LLC,residential real estate,"Beverly Hills, CA",N/A,9,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",,$0,$201,,0%,$0,$201,,5,14,809 North Canon LLC
7,,14,845 UN LP,commercial real estate,"New, York, NY",N/A,12,"$5,000,001","$25,000,000",0%,"$5,000,001","$25,000,000",rent,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,7,14,845 UN LP
8,,14,Caribusiness Investments SRL,land,Domincan Republic,N/A,25,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",,$0,$201,,0%,,,"$2,000,000",8,14,Caribusiness Investments SRL
10,,14,Country Apartments LLC,bank account,"New, York, NY",N/A,32,"$1,001","$15,000",0%,"$1,001","$15,000",,$0,$201,,0%,$0,$201,,10,14,Country Apartments LLC
11,,14,Country Properties LLC,residential real estate,"Norfolk, VA",N/A,34,"$50,001","$100,000",0%,"$50,001","$100,000",,$0,$201,,0%,$0,$201,,11,14,Country Properties LLC
12,,14,DB Pace Acquisition LLC,"land, building & ff&e","New York, NY",N/A,36,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",,$0,$201,,-100%,"$100,001","$1,000,000",,12,14,DB Pace Acquisition LLC
13,,15,DJT Aerospace LLC,aircraft,"New York, NY",N/A,39,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",rent,$0,$201,,0%,$0,$201,,13,15,DJT Aerospace LLC
14,,15,DJT Holdings LLC,holding company,"New York, NY",N/A,42,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",interest,"$15,000","$50,000",,-57%,"$50,001","$100,000",,14,15,DJT Holdings LLC
17,,15,DJT Operations I LLC,aircraft,"New York, NY",N/A,46,"$50,000,001","$50,000,001",0%,"$50,000,001","$50,000,001",rent,"$1,000,001","$5,000,000",,0%,"$1,000,001","$5,000,000",,17,15,DJT Operations I LLC
18,,15,DT Connect II LLC,aircraft,"Palm Beach, FL",N/A,55,"$1,000,001","$5,000,000",0%,"$1,000,001","$5,000,000",,$0,$201,,0%,$0,$201,,18,15,DT Connect II LLC
20,,15,DT Dubai Golf Manager LLC,bank account/management deal ,"Dubai,UAE",N/A,59,"$1,001","$15,000",1500%,$0,"$1,000",management fees,,,"$12,984",-100%,"$1,000,001","$5,000,000",,20,15,DT Dubai Golf Manager LLC
