Page,New 2017 Asset,# ID,Source,Description,EIF,Min,Max,Interest,Dividend,Capital Gain,Rent,Income Min,Income Max
34,,1,,Baron Real Estate Fund,Yes,$0,"$1,001",,,,,"$100,001","$1,000,000"
34,,2,,Baron Growth Fund,Yes,$0,"$1,001",,,,,"$100,001","$1,000,000"
34,,3,,Baron Partners Fund,Yes,$0,"$1,001",,,,,"$100,001","$1,000,000"
34,,4,,"AG Diversified Income Fund Plus, LP (fka AG Diversified Credit Strategies Fund LP) (Angelo Gordon)",Yes,$0,"$1,001",,,,,"$100,001","$1,000,000"
34,,5,,Midocean Credit Opportunity Fund LP (Midocean Credit Partners),Yes,"$1,000,001","$5,000,000",,,,,"$100,001","$1,000,000"
34,,6,,JP Morgan Chase - Checking & savings Accounts,N/A,"$1,000,001","$5,000,000",y,,,,"$1,001","$2,500"
34,,7,,Capital One Bank - Checking & Savings,N/A,"$5,000,001","$25,000,000",y,,,,"$100,001","$1,000,000"
34,,8,,Signature Bank - Checking,N/A,"$100,001","$250,000",y,,,,"$1,001","$2,500"
34,,9,,"Bank United, NA - Money Market",N/A,"$100,001","$250,000",y,,,,"$1,001","$2,500"
34,,10,,First Republic Bank - Checking,N/A,"$15,001","$50,000",y,,,,$0,$201
34,,11,,Investment in Gold,N/A,"$100,001","$250,000",,,,,$0,$201
34,,12,,WMTMF LLC (US Bank Cash Account),N/A,"$50,001","$100,000",,,,,$0,$201
34,,1,Barclays Bank - Brokerage Account,AT&T Inc,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
34,NEW,2,Barclays Bank - Brokerage Account,Astrazenca PLC,N/A,$0,"$1,001",,,y,,$201,"$1,000"
34,NEW,3,Barclays Bank - Brokerage Account,Crown Castle Intl,N/A,$0,"$1,001",,y,y,,$201,"$1,000"
34,,4,Barclays Bank - Brokerage Account,General Electric,N/A,$0,"$1,001",,y,y,,"$1,001","$2,500"
35,,5,Barclays Bank - Brokerage Account,Halliburton Co,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
35,,6,Barclays Bank - Brokerage Account,iShares Euro Finls Index ETF,Yes,$0,"$1,001",,,,,$201,"$1,000"
35,,7,Barclays Bank - Brokerage Account,Kinder Morgan Inc,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
35,NEW,8,Barclays Bank - Brokerage Account,Kraft Heinz Co,N/A,$0,"$1,001",,,y,,$201,"$1,000"
35,,9,Barclays Bank - Brokerage Account,Metlife Inc,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
35,NEW,10,Barclays Bank - Brokerage Account,Philip Morris Intl,N/A,$0,"$1,001",,,y,,$201,"$1,000"
35,,11,Barclays Bank - Brokerage Account,Pfizer Inc,N/A,$0,"$1,001",,y,y,,$201,"$1,000"
35,,12,Barclays Bank - Brokerage Account,Prudential Financial,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
35,,13,Barclays Bank - Brokerage Account,Raytheon Co,N/A,$0,"$1,001",,y,y,,"$2,501","$5,000"
35,NEW,14,Barclays Bank - Brokerage Account,SPDR S&P Bank ETF,Yes,$0,"$1,001",,,,,"$1,001","$2,500"
35,,15,Barclays Bank - Brokerage Account,Swiss Re Ltd,N/A,$0,"$1,001",,y,y,,"$1,001","$2,500"
35,NEW,16,Barclays Bank - Brokerage Account,US Bancorp DE,N/A,$0,"$1,001",,y,y,,"$1,001","$2,500"
35,NEW,17,Barclays Bank - Brokerage Account,Vanguard High Yield ETF,Yes,$0,"$1,001",,,,,$201,"$1,000"
35,,18,Barclays Bank - Brokerage Account,Verizon Communications,N/A,$0,"$1,001",,y,y,,$201,"$1,000"
35,,1,Oppenheimer Brokerage Account,Altria Group,N/A,$0,"$1,001",,y,y,,"$100,001","$1,000,000"
35,,2,Oppenheimer Brokerage Account,Amgen Inc,N/A,$0,"$1,001",,y,y,,"$50,001","$100,000"
36,,3,Oppenheimer Brokerage Account,Apple Inc,N/A,$0,"$1,001",,y,y,,"$100,001","$1,000,000"
36,,4,Oppenheimer Brokerage Account,AT&T Inc,N/A,$0,"$1,001",,y,y,,"$100,001","$1,000,000"
36,,5,Oppenheimer Brokerage Account,Bristol Myers Squibb Co,N/A,$0,"$1,001",,y,y,,"$100,001","$1,000,000"
36,,6,Oppenheimer Brokerage Account,General MLS Inc,N/A,$0,"$1,001",,y,y,,"$5,001","$15,000"
36,,7,Oppenheimer Brokerage Account,Gilead Sciences,N/A,$0,"$1,001",,,y,,"$100,001","$1,000,000"
36,,8,Oppenheimer Brokerage Account,JPMorgan Chase & Co,N/A,$0,"$1,001",,y,y,,"$100,001","$1,000,000"
36,,9,Oppenheimer Brokerage Account,Philip Morris International,N/A,$0,"$1,001",,y,y,,"$5,001","$15,000"
36,,10,Oppenheimer Brokerage Account,Regeneron Pharmaceuticals,N/A,$0,"$1,001",,,y,,"$50,001","$100,000"
